tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
14056,117.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14064,117.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14072,117.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14080,117.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14088,117.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14096,117.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14104,117.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14112,117.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14120,117.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14128,117.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14136,117.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14144,117.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14152,117.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14160,118.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14168,118.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14176,118.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14184,118.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14192,118.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14200,118.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14208,118.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14216,118.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14224,118.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14232,118.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14240,118.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14248,118.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14256,118.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14264,118.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14272,118.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14280,119.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14288,119.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14296,119.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14304,119.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14312,119.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14320,119.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14328,119.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
